iter	TotalF1:average=Macro	MultiClass
0	0.3043062056	1.491910896
1	0.3039506245	1.425691448
2	0.3598904703	1.25291741
3	0.358480183	1.170641338
4	0.3672910321	1.113777931
5	0.4629425553	1.020806922
6	0.4778984289	0.9780315118
7	0.4848962171	0.9412422806
8	0.490489931	0.9146979199
9	0.4906857322	0.9052636686
10	0.4892163498	0.8940704686
11	0.4880776838	0.8828612563
12	0.4875516962	0.8686218513
13	0.490158655	0.8559310029
14	0.4914363436	0.8517098406
15	0.5031582605	0.832444659
16	0.5041064662	0.8221522854
17	0.5044920841	0.8133569876
18	0.5069189793	0.8076492043
19	0.5087135561	0.8027209548
20	0.5089295178	0.7991705238
21	0.5098984125	0.7958950591
22	0.5103059881	0.7944957987
23	0.5213419198	0.7787231623
24	0.5240187444	0.7732369084
25	0.5297824347	0.7477600816
26	0.5366250549	0.7356112737
27	0.5369394064	0.7334399459
28	0.5413069675	0.7191601018
29	0.5415838765	0.7180073454
30	0.5476145522	0.699763402
31	0.5478802207	0.6968885134
32	0.5561242664	0.6794184792
33	0.5578828376	0.6783847987
34	0.5621166681	0.6733355288
35	0.5622720652	0.6722750168
36	0.5650217955	0.6695219033
37	0.5662930257	0.661250865
38	0.5667227751	0.6560824393
39	0.5664569891	0.6484716491
40	0.5673005315	0.6473153333
41	0.5678890673	0.6452619313
42	0.5676699809	0.644166648
43	0.5683130202	0.643054808
44	0.569329296	0.6388325897
45	0.5754372246	0.6231469312
46	0.5756884626	0.6200782709
47	0.5841410957	0.6075665423
48	0.643898638	0.5992622872
49	0.6488990313	0.5811749157
50	0.651805606	0.5615131695
51	0.6592692749	0.5450949432
52	0.6827805367	0.5363177268
53	0.6852977899	0.5273008563
54	0.6883689735	0.5223439006
55	0.6915009441	0.5135252514
56	0.699762767	0.4998065993
57	0.7013095656	0.4905502683
58	0.7135284342	0.4752225652
59	0.7633782289	0.4674550025
60	0.7660058813	0.461634336
61	0.7670623324	0.4576668004
62	0.8009851469	0.4483564482
63	0.8012466479	0.4389315758
64	0.8029296309	0.432888119
65	0.8010413881	0.4291884767
66	0.8015623454	0.4267848304
67	0.8022390405	0.422205571
68	0.8179609989	0.4179015576
69	0.8177652881	0.4146521874
70	0.8178564417	0.4115813342
71	0.8240364422	0.4087873165
72	0.8245703444	0.4067387693
73	0.8251808089	0.4039679036
74	0.8259976693	0.4022783892
75	0.8261791104	0.4006774554
76	0.8261045129	0.3989848063
77	0.8267353177	0.3971417253
78	0.8275149603	0.3957643663
79	0.8280871069	0.3946801179
80	0.829409844	0.3935224862
81	0.8295963996	0.3919138619
82	0.830381148	0.3900431867
83	0.830225849	0.3891355458
84	0.8311658379	0.3876925327
85	0.8317043679	0.386715528
86	0.8317925856	0.3862717994
87	0.8317323216	0.3850928697
88	0.8324471316	0.3836439413
89	0.8323780808	0.383228494
90	0.8340206007	0.3825648763
91	0.8342139219	0.3813765577
92	0.8346882043	0.3805763407
93	0.8350348886	0.379764697
94	0.8350078834	0.3797495452
95	0.8349105397	0.3787146778
96	0.8354168065	0.3780557517
97	0.83574726	0.3769595997
98	0.8358167609	0.3769514314
99	0.8370136177	0.3761642925
100	0.8379581936	0.3751281446
101	0.8394137603	0.3743338098
102	0.8397358101	0.3724158403
103	0.8402026656	0.3724008917
104	0.8422932552	0.3716569642
105	0.8418190461	0.3709945789
106	0.8433842239	0.3705888302
107	0.8434242039	0.3705833512
108	0.8436714804	0.3690772417
109	0.8442772614	0.3685576405
110	0.8446524709	0.3682722161
111	0.8450643918	0.3673656823
112	0.8453755515	0.366273712
113	0.8456158003	0.3654060872
114	0.8453762817	0.3646604127
115	0.8453100398	0.3643313253
116	0.8461610818	0.3635500006
117	0.8465101551	0.3626058854
118	0.846850202	0.3621059165
119	0.8472237845	0.3611608871
120	0.8458487208	0.3604129215
121	0.8459815539	0.3603108444
122	0.8466030185	0.3598859576
123	0.8470423808	0.3591164505
124	0.8473836172	0.3587688374
125	0.847561482	0.3584073235
126	0.8477768982	0.357835121
127	0.8484441557	0.3572359254
128	0.8490644883	0.3567337356
129	0.8497620267	0.3559730688
130	0.8507611907	0.3552354388
131	0.8519527537	0.3542306568
132	0.8520785732	0.3536115855
133	0.8530851238	0.3527013267
134	0.8532115919	0.3524462927
135	0.8535320163	0.3518708129
136	0.8539048455	0.3513847184
137	0.8539126222	0.3513815456
138	0.8551372141	0.3506968576
139	0.8547200662	0.3502475046
140	0.8561495095	0.3495271199
141	0.8557813264	0.348941974
142	0.8558309439	0.3485585265
143	0.8559636295	0.3481578525
144	0.8567296518	0.3475624799
145	0.857022502	0.3471171818
146	0.8572828976	0.3466608157
147	0.8573329787	0.3460794996
148	0.8586368606	0.3454591123
149	0.8587023244	0.3447957459
150	0.8589576679	0.3443253943
151	0.8592156787	0.3443230746
152	0.8593044956	0.3436568909
153	0.8598366415	0.3433051651
154	0.8617451573	0.3426998693
155	0.861866815	0.3419872684
156	0.8618825271	0.3412303366
157	0.8619942041	0.3407187166
158	0.8620384547	0.3404884842
159	0.8623996201	0.3397588352
160	0.8622025986	0.3389994263
161	0.8625975774	0.3389928661
162	0.8625255678	0.3381652735
163	0.8627608415	0.33807856
164	0.8622982504	0.3376495983
165	0.8631740694	0.3371586884
166	0.8636342996	0.3366823043
167	0.8636255793	0.3366015586
168	0.8645694762	0.3359184875
169	0.8647370979	0.3352168516
170	0.8653443423	0.3344667159
171	0.8653061205	0.3344647431
172	0.8647140859	0.3340615955
173	0.8645560354	0.3336546004
174	0.8656331433	0.3333496084
175	0.866272131	0.332776664
176	0.8663405049	0.3326480576
177	0.8658919582	0.3322802111
178	0.8660951421	0.3318025481
179	0.8667317657	0.3316145478
180	0.8664538305	0.3315887414
181	0.8666936931	0.3314145424
182	0.8669800716	0.3304073479
183	0.8673456509	0.3300084813
184	0.867308612	0.3293684843
185	0.8673464844	0.3289075908
186	0.8687035178	0.3283546342
187	0.8679561977	0.3279041336
188	0.868213947	0.3272983728
189	0.8692516119	0.3265284152
190	0.8706529715	0.3259645658
191	0.8708098127	0.3254533752
192	0.8717906049	0.3247984796
193	0.8723568662	0.3243681266
194	0.8718521657	0.3236633195
195	0.8726407999	0.3232624797
196	0.8723782394	0.322861467
197	0.8727868183	0.3224406939
198	0.8726557807	0.32147468
199	0.874485041	0.3214325131
200	0.8746580562	0.3213195185
201	0.8746139368	0.3208539277
202	0.8746131712	0.3203330803
203	0.8746488559	0.3199295621
204	0.8746350382	0.3195409022
205	0.875117912	0.3190285247
206	0.8752592247	0.3186480786
207	0.8754397366	0.3183393637
208	0.876986496	0.3179437964
209	0.8768666962	0.3175096072
210	0.8773832155	0.3171826229
211	0.8776596737	0.3167650209
212	0.8777626797	0.3166631547
213	0.8779997268	0.3162753981
214	0.8788634886	0.3159382373
215	0.8790006576	0.3153850896
216	0.8789802299	0.3152314865
217	0.8788245802	0.3144657772
218	0.8787302821	0.314110357
219	0.8785982561	0.3135916422
220	0.8796611258	0.3129360769
221	0.8793991605	0.312298142
222	0.8794574668	0.312290032
223	0.8794957376	0.3119279249
224	0.8794114226	0.3113565316
225	0.8794895136	0.3109713569
226	0.8799181098	0.3107788184
227	0.8800254778	0.310159249
228	0.8805180185	0.3098036938
229	0.8809049689	0.3096030973
230	0.8811145166	0.309264805
231	0.8813236269	0.3087556748
232	0.8816351415	0.3084021257
233	0.8813352464	0.3080052872
234	0.881732533	0.3073902366
