iter	Passed	Remaining
0	67	33715
1	84	21083
2	151	25020
3	217	26950
4	282	27947
5	345	28484
6	407	28684
7	469	28880
8	534	29143
9	598	29310
10	666	29613
11	737	29974
12	807	30244
13	871	30244
14	934	30212
15	996	30146
16	1056	30028
17	1116	29902
18	1179	29858
19	1241	29798
20	1308	29849
21	1373	29837
22	1436	29785
23	1495	29670
24	1556	29575
25	1621	29566
26	1692	29645
27	1759	29654
28	1831	29746
29	1895	29702
30	1961	29674
31	2022	29581
32	2088	29550
33	2149	29465
34	2212	29395
35	2244	28926
36	2307	28880
37	2368	28799
38	2430	28727
39	2490	28641
40	2551	28565
41	2625	28628
42	2696	28661
43	2768	28692
44	2834	28655
45	2900	28627
46	2961	28540
47	3026	28502
48	3089	28432
49	3150	28353
50	3210	28268
51	3275	28219
52	3345	28211
53	3412	28183
54	3472	28099
55	3534	28020
56	3601	27988
57	3667	27952
58	3736	27932
59	3802	27886
60	3865	27821
61	3926	27741
62	3987	27656
63	4047	27574
64	4108	27496
65	4170	27422
66	4229	27333
67	4292	27271
68	4357	27218
69	4421	27163
70	4483	27092
71	4543	27008
72	4606	26946
73	4674	26911
74	4739	26855
75	4808	26828
76	4877	26797
77	4941	26734
78	5001	26653
79	5063	26583
80	5127	26523
81	5188	26446
82	5250	26378
83	5315	26324
84	5379	26266
85	5443	26206
86	5503	26128
87	5563	26047
88	5625	25979
89	5661	25790
90	5726	25738
91	5792	25689
92	5856	25630
93	5919	25567
94	5980	25497
95	6041	25425
96	6102	25354
97	6165	25291
98	6226	25219
99	6290	25161
100	6353	25101
101	6417	25039
102	6481	24980
103	6543	24915
104	6607	24855
105	6678	24822
106	6748	24786
107	6814	24734
108	6881	24686
109	6947	24631
110	7009	24563
111	7071	24497
112	7135	24438
113	7201	24385
114	7264	24318
115	7325	24250
116	7390	24192
117	7453	24130
118	7518	24072
119	7580	24003
120	7650	23962
121	7718	23914
122	7788	23872
123	7849	23802
124	7911	23733
125	7976	23677
126	8039	23611
127	8099	23540
128	8159	23467
129	8219	23394
130	8283	23333
131	8347	23271
132	8409	23206
133	8475	23148
134	8537	23082
135	8602	23025
136	8672	22979
137	8736	22917
138	8804	22866
139	8866	22799
140	8931	22740
141	8995	22679
142	9056	22608
143	9119	22544
144	9180	22475
145	9243	22411
146	9306	22348
147	9371	22288
148	9435	22227
149	9497	22161
150	9560	22096
151	9625	22037
152	9697	21994
153	9767	21945
154	9835	21891
155	9896	21822
156	9959	21758
157	10023	21696
158	10086	21632
159	10150	21569
